2026-09-18T14:54:57 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-18T15:09:38 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-18T15:09:39 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-18T15:11:18 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-18T15:11:18 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-18T15:11:19 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-18T15:11:19 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 4
2026-09-18T15:19:13 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 3
2026-09-18T15:19:13 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-20T13:59:30 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | Database initialized
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | Event bus ready (11 event types)
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | WebSocket heartbeat started (interval=5s)
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | Frames directory: data\frames
2026-09-20T13:59:30 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-20T13:59:30 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-20T14:02:28 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-20T14:02:28 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-20T14:08:08 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-20T14:08:08 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 4
2026-09-20T15:03:09 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 3
2026-09-20T15:03:09 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-21T14:07:41 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | Database initialized
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | Event bus ready (11 event types)
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | WebSocket heartbeat started (interval=5s)
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | Frames directory: data\frames
2026-09-21T14:07:41 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-21T14:07:41 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-21T14:09:02 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-21T14:09:02 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-21T14:09:04 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-21T14:09:04 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 4
2026-09-21T14:50:20 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 3
2026-09-21T14:50:20 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
